,Cluster ID,index,latitude,longitude,units
676,676,2536,37.3151130676,-121.854064941,117.0
859,859,4786,37.31562221,-121.9227844,63.0
975,975,5482,37.316092,-121.885228,24.0
390,390,6309,37.31618,-121.881588,2.0
613,613,2433,37.3163032532,-121.908729553,50.0
1183,1183,6532,37.316311,-121.828643,180.0
683,683,2544,37.3183631897,-121.844070435,16.0
2210,2210,3235,37.3184318542,-121.826881409,43.0
2217,2217,3258,37.3186378479,-121.822547913,43.0
1069,1069,3080,37.3190422058,-121.918937683,71.0
1182,1182,6135,37.319802,-121.823432,272.0
1304,1304,3417,37.3198471069,-121.985237122,176.0
2147,2147,2952,37.3199005127,-122.012710571,43.0
2460,2460,4818,37.32014834,-121.8774492,79.0
1254,1254,6346,37.32017,-121.959769,125.0
61,61,248,37.321807,-122.040069,43.0
2122,2122,2908,37.321807,-122.007415,43.0
308,308,2085,37.3218078613,-122.04006958,27.0
1831,1831,1597,37.3218078613,-122.007415771,7.0
2330,2330,3805,37.321947,-121.911288,138.0
545,545,6050,37.321955,-121.913744,90.0
243,243,2502,37.3220252991,-121.955635071,43.0
825,825,4770,37.32204331,-121.911292,138.0
2800,2800,5907,37.322077,-121.877213,37.0
884,884,2802,37.3223876953,-121.874343872,148.0
65,65,2134,37.322429657,-122.007293701,40.0
2324,2324,3774,37.322636,-121.913742,90.0
1154,1154,4011,37.32313408,-122.0676791,100.0
2829,2829,6062,37.323477,-121.917577,95.0
1147,1147,4816,37.32394551,-121.832449,354.0
541,541,6042,37.323979,-121.899825,123.0
917,917,4808,37.32401565,-121.8996979,110.0
1495,1495,4831,37.32404488,-121.8743151,88.0
2764,2764,5712,37.324221,-121.849624,70.0
653,653,4787,37.32433333,-121.8746033,103.0
759,759,4825,37.32439625,-121.8550224,100.0
657,657,4807,37.32453821,-121.8492279,70.0
1560,1560,57,37.3246007413,-121.855219156,20.0
701,701,3652,37.324635,-121.884326,23.0
1062,1062,3071,37.3248790205,-121.836936548,216.0
590,590,2409,37.3249206543,-121.86592865,88.0
407,407,4836,37.32611032,-121.8534761,100.0
784,784,2685,37.3265151978,-121.936309814,109.0
1318,1318,5425,37.327917,-121.884807,54.0
389,389,2193,37.3283615112,-121.881446838,53.0
751,751,4829,37.33061858,-121.8515821,61.0
2459,2459,4801,37.33076645,-121.8793214,109.0
546,546,5892,37.331454,-121.884205,63.0
2312,2312,3723,37.331456,-121.884207,63.0
238,238,1709,37.332054,-121.876464,43.0
404,404,2211,37.3320999146,-121.847450256,192.0
1001,1001,4847,37.3321308,-121.8528869,130.0
722,722,6477,37.332142,-121.876115,60.0
1129,1129,4736,37.33272339,-121.8894252,165.0
2000,2000,2078,37.33466506,-121.972282156,43.0
642,642,4850,37.33468503,-121.9090606,245.0
875,875,2793,37.3352960497,-121.911383942,94.0
970,970,2947,37.3362388611,-121.887062073,323.0
1950,1950,2009,37.3362808228,-121.930328369,43.0
1383,1383,4789,37.33631788,-121.9098534,88.0
1409,1409,3568,37.3367118835,-121.885719299,87.0
2482,2482,4949,37.33763116,-121.951528,42.0
1343,1343,5533,37.338055,-121.889107,216.0
2830,2830,6063,37.338475,-121.885794,185.0
344,344,6446,37.338565,-121.885631,59.0
236,236,1698,37.3385810852,-121.885566711,13.0
1836,1836,1742,37.338928,-121.817131,43.0
2059,2059,2498,37.3389282227,-121.817131042,43.0
249,249,2516,37.3399658203,-121.963676453,43.0
244,244,1728,37.3403282166,-121.879768372,43.0
426,426,2234,37.3409576416,-122.035041809,211.0
340,340,4965,37.34108777,-122.0344995,66.0
427,427,5760,37.34115,-122.034553,222.0
2890,2890,6500,37.34184,-121.840409,93.0
687,687,2551,37.3430221528,-121.888742745,9.0
447,447,6358,37.34365,-121.839139,129.0
2477,2477,4943,37.34384693,-121.9399176,33.0
245,245,1730,37.344329834,-121.842811584,43.0
670,670,6158,37.345386,-121.862097,84.0
771,771,2665,37.3458213806,-121.851425171,99.0
693,693,6398,37.346458,-121.856239,86.0
711,711,6527,37.346809,-121.824657,287.0
248,248,1749,37.347042,-121.955963,43.0
2055,2055,2492,37.3470420837,-121.955963135,43.0
804,804,5891,37.347546,-121.891213,96.0
1317,1317,3436,37.3478507996,-121.891860962,109.0
1610,1610,259,37.347877,-121.996467,43.0
2481,2481,4947,37.34810035,-121.9450643,100.0
1418,1418,5556,37.348298,-121.945169,101.0
2266,2266,3460,37.3488616943,-121.892608643,43.0
1367,1367,5597,37.35075,-121.895678,140.0
2844,2844,6157,37.35134,-121.824676,59.0
2478,2478,4944,37.35243296,-121.9520422,17.0
2848,2848,6182,37.352458,-121.972103,48.0
1087,1087,5525,37.352901,-121.855282,60.0
2476,2476,4942,37.35304843,-121.9385547,24.0
250,250,4937,37.35326628,-121.9385226,25.0
957,957,5983,37.353306,-121.852847,25.0
1386,1386,5524,37.353358,-121.852915,50.0
513,513,6553,37.353787,-121.822638,81.0
2480,2480,4946,37.35383297,-121.941907,6.0
2081,2081,2576,37.3539105803,-121.851328611,93.0
1023,1023,3023,37.3539276123,-122.009315491,15.0
251,251,2622,37.3542720079,-121.947293356,42.0
2487,2487,4975,37.35450819,-122.028947,5.0
449,449,4839,37.35478823,-121.8511998,93.0
2891,2891,6513,37.35502,-121.871109,201.0
1302,1302,4821,37.35505851,-121.8710797,201.0
2758,2758,5678,37.355509,-121.954262,144.0
1834,1834,1733,37.356029,-121.837287,43.0
2058,2058,2497,37.3560295105,-121.837287903,43.0
835,835,4823,37.35604747,-121.8687374,80.0
2004,2004,2086,37.356136322,-122.030937195,48.0
786,786,5794,37.356381,-121.84561,101.0
2175,2175,3063,37.3564300537,-122.030471802,43.0
1138,1138,4830,37.35655259,-121.8476181,96.0
780,780,4950,37.3568573,-121.9501648,28.0
705,705,2582,37.3569454998,-121.893206611,53.0
2817,2817,5990,37.356962,-121.949993,28.0
1602,1602,222,37.3572083563,-121.950177401,43.0
2048,2048,2480,37.3573183268,-121.899204031,88.0
502,502,2317,37.3573684692,-121.83367157,144.0
503,503,6173,37.357578,-121.83249,49.0
800,800,2706,37.3583068848,-121.833747864,69.0
1262,1262,4948,37.35879135,-121.9995422,57.0
727,727,2614,37.3588867188,-121.999465942,16.0
2488,2488,4976,37.35897056,-122.0143727,6.0
467,467,2277,37.3590919375,-121.996727809,17.0
2192,2192,3159,37.3592414856,-121.998245239,43.0
2184,2184,3113,37.3594284058,-122.029823303,43.0
2846,2846,6175,37.360432,-121.907521,106.0
348,348,5775,37.360527,-121.858112,700.0
2479,2479,4945,37.36080651,-121.9935218,6.0
796,796,4824,37.360842,-121.8387246,55.0
1605,1605,235,37.361099,-121.859848,140.0
2020,2020,2145,37.3610992432,-121.859848022,700.0
2847,2847,6180,37.361247,-121.905769,184.0
1207,1207,5519,37.36168,-121.832792,15.0
12,12,50,37.3619290441,-121.909388378,13.0
1030,1030,3031,37.3619804382,-121.84552002,43.0
242,242,1718,37.3620658368,-121.909664646,43.0
951,951,2880,37.3621940613,-121.909454346,35.0
813,813,6174,37.364137,-121.827416,66.0
2866,2866,6302,37.364154,-122.021579,20.0
672,672,6206,37.364372,-121.907276,100.0
11,11,2776,37.3643913269,-122.023841858,124.0
1192,1192,4727,37.3646307,-121.8405822,210.0
1558,1558,48,37.3650169373,-121.907150269,43.0
14,14,53,37.3656304926,-121.868126616,43.0
2205,2205,3212,37.3656768799,-121.994415283,43.0
929,929,5988,37.365722,-121.910654,42.0
1601,1601,220,37.3657739908,-121.910682544,43.0
13,13,2616,37.3660888672,-121.867889404,94.0
1094,1094,3114,37.3663368225,-121.84009552,85.0
985,985,2967,37.3668301105,-122.00158596,95.0
2490,2490,4978,37.36714954,-122.0405669,38.0
1295,1295,5629,37.367738,-122.027427,209.0
802,802,4938,37.3682071,-121.9735097,72.0
643,643,2465,37.3686904907,-121.871444702,75.0
2216,2216,3251,37.3691902161,-121.841430664,43.0
320,320,3790,37.370384,-121.842389,86.0
58,58,218,37.370552063,-121.841041565,18.0
651,651,2473,37.3706207275,-121.872528076,76.0
1349,1349,5595,37.370959,-121.855717,168.0
1434,1434,5438,37.37281,-121.872667,24.0
928,928,4815,37.37307562,-121.8727562,25.0
313,313,2092,37.3749545217,-122.028512657,101.0
2462,2462,4860,37.37550509,-121.7940111,24.0
895,895,3747,37.375892,-122.028071,123.0
256,256,1776,37.375968,-122.027572,43.0
2121,2121,2907,37.3759689331,-122.027572632,43.0
548,548,5952,37.376798,-121.836891,157.0
1299,1299,3410,37.3776779175,-121.839744568,18.0
742,742,5758,37.378353,-122.074482,150.0
1608,1608,253,37.3819999695,-122.022949219,43.0
1193,1193,5379,37.382035,-122.032136,23.0
2318,2318,3741,37.384911,-121.897287,246.0
439,439,6478,37.386519,-121.898327,246.0
2146,2146,2945,37.388675,-122.047119,43.0
255,255,1769,37.388843,-121.996612,43.0
257,257,2493,37.3891563416,-122.027160645,43.0
1946,1946,2005,37.3918113708,-122.086372375,43.0
2489,2489,4977,37.39237976,-122.0387186,11.0
873,873,6360,37.393422,-121.947463,100.0
2475,2475,4941,37.39342545,-121.9648037,18.0
2111,2111,2896,37.3941078186,-121.949035645,15.0
361,361,5527,37.395371,-122.018093,35.0
2843,2843,6156,37.395496,-122.080703,51.0
1200,1200,6017,37.395752,-121.861305,128.0
2051,2051,2488,37.397247,-122.094352,43.0
2765,2765,5713,37.398177,-122.022837,193.0
1153,1153,6284,37.398259,-122.103882,74.0
1171,1171,4968,37.39846528,-122.0239372,62.0
883,883,2801,37.3986663818,-122.022895813,193.0
750,750,5954,37.398675,-121.846445,96.0
2099,2099,2740,37.399532,-122.103096,107.0
829,829,6285,37.39995,-122.103169,107.0
284,284,3715,37.399976,-122.10309,107.0
1932,1932,1986,37.40018,-121.953773,43.0
1840,1840,1760,37.4001808167,-121.953773499,43.0
405,405,4933,37.40060299,-121.9544243,100.0
1300,1300,5756,37.40099,-122.079754,120.0
342,342,3817,37.40197,-121.879816,92.0
566,566,2378,37.402234599,-122.063427642,56.0
1289,1289,5618,37.402348,-122.126761,92.0
2752,2752,5665,37.402658,-121.880766,92.0
1421,1421,6286,37.402827,-122.092684,149.0
1420,1420,4222,37.4029541,-122.0927811,104.0
1613,1613,263,37.4030227661,-121.880065918,19.0
1115,1115,5378,37.403165,-122.090567,34.0
1398,1398,4215,37.40373003,-122.0748306,32.0
1112,1112,3136,37.4043381214,-121.880791336,168.0
2180,2180,3084,37.405639,-122.060462,43.0
227,227,1669,37.406578,-122.097091,43.0
473,473,2281,37.4073791504,-121.962173462,71.0
914,914,2842,37.4076194763,-121.960662842,148.0
229,229,1674,37.407897,-122.110397,43.0
703,703,4196,37.40850067,-121.9075012,101.0
1338,1338,4416,37.40852116,-122.1246765,66.0
782,782,3675,37.410111,-122.090912,124.0
562,562,2380,37.4113960266,-121.959747314,140.0
912,912,2840,37.411441803,-122.122718811,35.0
2754,2754,5668,37.412519,-121.959744,140.0
563,563,2375,37.4125480652,-121.960090637,120.0
1353,1353,3489,37.4133453369,-122.102249146,156.0
1292,1292,6126,37.413652,-121.961341,637.0
63,63,2154,37.413936615,-122.130470276,33.0
2332,2332,3813,37.414444,-121.960651,637.0
2252,2252,3384,37.4149717391,-122.126332819,43.0
2761,2761,5693,37.416235,-121.902442,306.0
62,62,251,37.4168701172,-121.903930664,77.0
332,332,3806,37.417162,-121.902877,306.0
1297,1297,5544,37.418407,-122.113058,120.0
1918,1918,1968,37.4191436768,-122.113334656,43.0
2853,2853,6226,37.419282,-122.125489,14.0
232,232,1684,37.4202308655,-122.134132385,43.0
231,231,1681,37.4215583801,-122.133644104,43.0
230,230,1677,37.4244766235,-122.103897095,56.0
832,832,5869,37.42475,-122.104185,56.0
1197,1197,5517,37.424965,-122.141628,24.0
827,827,3853,37.425359,-122.141461,56.0
1474,1474,5769,37.425388,-122.141447,57.0
484,484,3637,37.429474,-122.143476,45.0
2140,2140,2933,37.4297409058,-122.100791931,43.0
2333,2333,3827,37.431142,-122.427658,80.0
769,769,2663,37.4327507019,-121.907752991,103.0
2750,2750,5660,37.432805,-121.897259,101.0
1823,1823,1562,37.4328727722,-122.203948975,43.0
662,662,5820,37.43294,-122.204241,18.0
460,460,4101,37.43521936,-122.4174033,80.0
1981,1981,2054,37.4362403154,-122.414633408,43.0
1233,1233,4403,37.4390628,-122.1609377,89.0
234,234,1690,37.439327,-122.160926,43.0
999,999,4414,37.43943877,-122.1172834,60.0
2835,2835,6088,37.441039,-122.160116,50.0
924,924,6328,37.441495,-122.160846,107.0
233,233,1686,37.4426956177,-122.157325745,43.0
2422,2422,4417,37.44524541,-122.1635458,25.0
364,364,5599,37.446065,-122.152474,68.0
1401,1401,3557,37.4464302063,-122.176734924,30.0
1615,1615,265,37.4465866089,-122.151977539,43.0
1234,1234,3316,37.4477043152,-122.163330078,50.0
1235,1235,4411,37.44992761,-122.1576889,100.0
2320,2320,3755,37.450709,-122.429384,36.0
1236,1236,5412,37.451051,-122.158572,218.0
1035,1035,3036,37.4527015686,-122.189079285,93.0
2387,2387,4106,37.45297912,-122.4296007,28.0
2375,2375,4030,37.45405461,-122.1221059,36.0
2025,2025,2187,37.4543190002,-122.42931366,36.0
2860,2860,6274,37.454601,-122.136523,43.0
1455,1455,6283,37.454638,-122.429817,36.0
438,438,2246,37.4546661377,-122.136245728,23.0
969,969,4105,37.45519954,-122.4298823,50.0
2083,2083,2590,37.45520401,-122.131088257,43.0
2374,2374,4029,37.45594832,-122.1366995,26.0
2864,2864,6300,37.455956,-122.429798,45.0
1090,1090,5648,37.456015,-121.908764,171.0
2265,2265,3455,37.4564323425,-122.186286926,43.0
2856,2856,6229,37.45659,-122.430045,40.0
1373,1373,3513,37.4566688538,-122.428833008,64.0
442,442,5719,37.456847,-122.134088,94.0
1555,1555,41,37.4573070556,-122.13457793,19.0
2388,2388,4107,37.45732167,-122.4299927,60.0
201,201,1550,37.4575271606,-122.125259399,43.0
452,452,2260,37.4595527649,-122.133468628,129.0
2376,2376,4031,37.46075301,-122.1345928,11.0
202,202,1554,37.464122,-122.44181,43.0
1146,1146,3183,37.4650878906,-122.146614075,1.0
1150,1150,3190,37.4665641785,-122.147132874,1.0
2096,2096,2693,37.4688987732,-122.139907837,78.0
1452,1452,4041,37.46893606,-122.1394126,78.0
1320,1320,3440,37.469741,-122.223007,72.0
486,486,6097,37.470192,-122.140487,32.0
203,203,1558,37.470252,-122.156364,43.0
386,386,2189,37.4702529907,-122.156364441,6.0
2373,2373,4028,37.47026925,-122.131113,1.0
2378,2378,4033,37.47163654,-122.1364719,77.0
488,488,2297,37.471950531,-122.141197205,38.0
2431,2431,4464,37.47332602,-122.214986,24.0
2309,2309,3709,37.47357,-122.154236,6.0
2427,2427,4451,37.47366671,-122.2196586,38.0
350,350,6546,37.474148,-122.225648,36.0
56,56,214,37.4742927551,-122.226242065,7.0
2428,2428,4452,37.47431899,-122.225494,35.0
207,207,1574,37.4768104553,-122.22252655,43.0
2012,2012,2121,37.4773277342,-122.152482346,130.0
1037,1037,5515,37.477481,-122.152355,130.0
2799,2799,5905,37.479507,-122.226939,14.0
206,206,1569,37.479598999,-122.22467041,43.0
2743,2743,5320,37.479742,-122.224945,15.0
208,208,1577,37.4801407009,-122.227085978,43.0
2430,2430,4454,37.48044678,-122.2275708,5.0
417,417,6545,37.48048,-122.227516,58.0
1016,1016,3015,37.4820327759,-122.255119324,8.0
356,356,2155,37.4828300476,-122.21837616,27.0
2861,2861,6278,37.48345,-122.153721,6.0
205,205,1566,37.4840965271,-122.221351624,43.0
652,652,3756,37.484653,-122.226165,82.0
1415,1415,3576,37.4854812622,-122.224884033,59.0
2367,2367,3993,37.48696426,-122.414556,30.0
1025,1025,3026,37.4888381958,-122.219871521,136.0
2382,2382,4081,37.49950126,-121.9777669,100.0
663,663,5822,37.501506,-122.26231,14.0
1824,1824,1583,37.5018692017,-122.262306213,43.0
2278,2278,3516,37.5038719177,-122.260902405,43.0
10,10,43,37.5060501099,-122.210479736,12.0
2429,2429,4453,37.50605108,-122.2103182,6.0
1164,1164,3216,37.5093803406,-122.30014801,164.0
645,645,2467,37.5102639198,-122.256198674,16.0
286,286,3929,37.51414215,-122.2684014,25.0
1816,1816,1540,37.5142021179,-122.267868042,43.0
2150,2150,2959,37.5196418762,-122.278518677,43.0
1403,1403,5511,37.522769,-122.277568,24.0
1942,1942,1998,37.5247917175,-122.278869629,43.0
2384,2384,4084,37.52631574,-121.9126623,11.0
1250,1250,4462,37.52645389,-122.2534948,104.0
1538,1538,4,37.5265007019,-121.912834167,20.0
1285,1285,3391,37.530643,-121.956947,20.0
2383,2383,4083,37.53294597,-121.9626513,10.0
954,954,2883,37.533005029,-121.962433755,18.0
1072,1072,3085,37.5332390517,-121.921723187,41.0
549,549,5881,37.53334,-121.967705,100.0
556,556,3635,37.53336,-121.964646,82.0
88,88,899,37.533367,-121.966964,100.0
1577,1577,97,37.5337600708,-121.956222534,43.0
557,557,4074,37.53395267,-121.922943,60.0
952,952,6304,37.533956,-121.954695,64.0
89,89,906,37.5339622498,-121.921539307,44.0
2839,2839,6098,37.534186,-121.965919,82.0
1632,1632,900,37.5345687866,-121.957527161,43.0
1280,1280,3385,37.5346374512,-121.964134216,24.0
1281,1281,4061,37.53492182,-121.9630045,81.0
1283,1283,5458,37.535869,-121.959574,14.0
803,803,6382,37.537509,-121.951583,51.0
2256,2256,3399,37.5375518799,-121.977180481,43.0
805,805,2711,37.5400047302,-122.308502197,81.0
1575,1575,83,37.5402488708,-121.947669983,43.0
689,689,6298,37.540525,-122.301467,68.0
550,550,4070,37.54095688,-121.9478685,100.0
1268,1268,6163,37.541243,-121.983435,132.0
881,881,2798,37.5415420532,-122.305358887,50.0
